loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,total_acc,total_pymnt,application_type
5000,4975, 36 months,10.65%,162.87,B,10+ years,RENT,24000,Verified,Fully Paid,credit_card,AZ,9,5863.155187,Individual
2500,2500, 60 months,15.27%,59.83,C,< 1 year,RENT,30000,Source Verified,Charged Off,car,GA,4,1014.53,Individual
2400,2400, 36 months,15.96%,84.33,C,10+ years,RENT,12252,Not Verified,Fully Paid,small_business,IL,10,3005.666844,Individual
10000,10000, 36 months,13.49%,339.31,C,10+ years,RENT,49200,Source Verified,Fully Paid,other,CA,37,12231.89,Individual
3000,3000, 60 months,12.69%,67.79,B,1 year,RENT,80000,Source Verified,Fully Paid,other,OR,38,4066.908161,Individual
5000,5000, 36 months,7.90%,156.46,A,3 years,RENT,36000,Source Verified,Fully Paid,wedding,AZ,12,5632.21,Individual
7000,7000, 60 months,15.96%,170.08,C,8 years,RENT,47004,Not Verified,Fully Paid,debt_consolidation,NC,11,10137.84001,Individual
3000,3000, 36 months,18.64%,109.43,E,9 years,RENT,48000,Source Verified,Fully Paid,car,CA,4,3939.135294,Individual
5600,5600, 60 months,21.28%,152.39,F,4 years,OWN,40000,Source Verified,Charged Off,small_business,CA,13,647.5,Individual
5375,5350, 60 months,12.69%,121.45,B,< 1 year,RENT,15000,Verified,Charged Off,other,TX,3,1484.59,Individual
6500,6500, 60 months,14.65%,153.45,C,5 years,OWN,72000,Not Verified,Fully Paid,debt_consolidation,AZ,23,7678.017673,Individual
12000,12000, 36 months,12.69%,402.54,B,10+ years,OWN,75000,Source Verified,Fully Paid,debt_consolidation,CA,34,13947.98916,Individual
9000,9000, 36 months,13.49%,305.38,C,< 1 year,RENT,30000,Source Verified,Charged Off,debt_consolidation,VA,9,2277.32,Individual
3000,3000, 36 months,9.91%,96.68,B,3 years,RENT,15000,Source Verified,Fully Paid,credit_card,IL,11,3480.269999,Individual
10000,10000, 36 months,10.65%,325.74,B,3 years,RENT,100000,Source Verified,Charged Off,other,CA,29,7471.99,Individual
1000,1000, 36 months,16.29%,35.31,D,< 1 year,RENT,28000,Not Verified,Fully Paid,debt_consolidation,MO,23,1270.716942,Individual
10000,10000, 36 months,15.27%,347.98,C,4 years,RENT,42000,Not Verified,Fully Paid,home_improvement,CA,28,12527.15,Individual
3600,3600, 36 months,6.03%,109.57,A,10+ years,MORTGAGE,110000,Not Verified,Fully Paid,major_purchase,CT,42,3785.271965,Individual
6000,6000, 36 months,11.71%,198.46,B,1 year,MORTGAGE,84000,Verified,Fully Paid,medical,UT,14,7167.072893,Individual
9200,9200, 36 months,6.03%,280.01,A,6 years,RENT,77385.19,Not Verified,Fully Paid,debt_consolidation,CA,28,9460.000848,Individual
